요금제명,통신사,요금제유형,데이터제공량,월요금(원),활성여부
 데이터안심300분15G+ ,후불)프리티LG,LTE,15GB+3Mbps 무제한,"46,200",TRUE
 유심프리티데이터중심11G+ ,후불)프리티LG,LTE,11GB+일2GB+3Mbps 무제한,"49,390",TRUE
 데이터팡팡 ,후불)프리티LG,LTE,일5GB+5Mbps 무제한,"52,700",TRUE
 M 알뜰 1.5GB 100분 ,후불)엠모바일,LTE,1.5GB,"5,500",TRUE
 M 알뜰 안심 ,후불)엠모바일,LTE,400kbps 무제한,"7,500",TRUE
 M 알뜰 2.5GB ,후불)엠모바일,LTE,2.5GB,"6,500",TRUE
 통화 맘껏 4.5GB ,후불)엠모바일,LTE,4.5GB,"6,900",TRUE
 M 알뜰 안심 2.5GB ,후불)엠모바일,LTE,2.5GB + 400kbps 무제한,"9,500",TRUE
 M 라이트 6GB 플러스 ,후불)엠모바일,LTE,6GB + 400kbps 무제한,"13,000",TRUE
 M 라이트 10GB 플러스 ,후불)엠모바일,LTE,10GB + 400kbps 무제한,"16,000",TRUE
 M 스페셜 2.2GB 100분 ,후불)엠모바일,LTE,2.2GB + 1Mbps 무제한,"13,900",TRUE
 통화 맘껏 10GB ,후불)엠모바일,LTE,10GB,"12,900",TRUE
 M 스페셜 5GB 100분 ,후불)엠모바일,LTE,5GB + 1Mbps 무제한,"16,000",TRUE
 통화 맘껏 15GB ,후불)엠모바일,LTE,15GB,"15,900",TRUE
 데이터 맘껏 10GB+/180분 ,후불)엠모바일,LTE,10GB + 1Mbps 무제한,"18,000",TRUE
 M 스페셜 10GB 플러스 ,후불)엠모바일,LTE,10GB + 1Mbps 무제한,"19,400",TRUE
 M 스페셜 7GB 플러스 ,후불)엠모바일,LTE,7GB + 1Mbps 무제한,"17,400",TRUE
 M 라이트 7GB 플러스 ,후불)엠모바일,LTE,7GB + 400Kbps 무제한,"14,000",TRUE
 M 스페셜 7GB(밀리의서재) ,후불)엠모바일,LTE,7GB + 1Mbps 무제한,"17,900",TRUE
 M 스페셜 7GB(지니뮤직) ,후불)엠모바일,LTE,7GB + 1Mbps 무제한,"20,200",TRUE
 M 스페셜 10GB(밀리의서재) ,후불)엠모바일,LTE,10GB + 1Mbps 무제한,"19,900",TRUE
 M 스페셜 10GB(CU 20%할인) ,후불)엠모바일,LTE,10GB + 1Mbps 무제한,"20,400",TRUE
 M 스페셜 15GB 플러스 ,후불)엠모바일,LTE,15GB + 1Mbps 무제한,"21,900",TRUE
 M 스페셜 15GB(CU 20%할인) ,후불)엠모바일,LTE,15GB + 1Mbps 무제한,"22,400",TRUE
