접점코드,판매점명,실판매POS,통신사,담당영업과장
S텔21236,수)와우통신(성남),알뜰폰 전문매장 와우통신,후불)텔링크SK,김성수
S텔21124,구)와이에스(창원),와이에스,후불)텔링크SK,서승구
S텔23288,구)와이제이모바일(하남),와이제이모바일,후불)텔링크SK,서승구
S텔23309,구)와이제이컴퍼니(하남),와이제이컴퍼니,후불)텔링크SK,서승구
S텔20897,구)와이즈,와이즈,후불)텔링크SK,서승구
S텔18505,열)완도통신(완도),완도통신,후불)텔링크SK,박종열
S텔25969,민)왕대박모바일(부천),왕대박모바일,후불)텔링크SK,김민준
S텔23529,영)외국인마트(이천),외국인마트(FOREIGN MART),후불)텔링크SK,원세영
S텔20354,열)외대통신,외대통신,후불)텔링크SK,박종열
S텔26384,민)요기핸드폰(인천),요기핸드폰,후불)텔링크SK,김민준
S텔23840,열)용인텔레콤,용인텔레콤,후불)텔링크SK,박종열
S텔20957,구)우기통신(안양),우기통신,후불)텔링크SK,서승구
S텔26115,수)우리동네성지폰(김해),우리동네 성지폰,후불)텔링크SK,김성수
S텔20194,열)우리동네텔레콤(천안),우리동네텔레콤,후불)텔링크SK,박종열
S텔24610,열)우리동네폰가게(통영),우리동네폰가게,후불)텔링크SK,박종열
S텔21022,열)우리통신(광주),우리통신(광주),후불)텔링크SK,박종열
S텔26222,웅)우리통신(김해),우리통신,후불)텔링크SK,정선웅
S텔16604,구)우리형스마트폰(미아),우리형스마트폰(미아),후불)텔링크SK,서승구
S텔22440,열)우씨통신(창원),우씨통신,후불)텔링크SK,박종열
S텔20347,열)우여사텔레콤,우여사텔레콤,후불)텔링크SK,박종열
S텔20615,수)우원모바일(양산),우원모바일,후불)텔링크SK,김성수
S텔23561,수)우윈스(구미),우윈스 구미지점,후불)텔링크SK,김성수
S텔22997,수)우윈스(수원),우윈스 수원지점,후불)텔링크SK,김성수
S텔25356,수)우주통신(길동),우주통신,후불)텔링크SK,김성수
S텔16624,구)우주통신(속초시),우주통신,후불)텔링크SK,서승구
S텔16323,웅)우진,우진,후불)텔링크SK,정선웅
S텔25713,우)에이투젯 휴대폰,지엔케이레스토랑,후불)텔링크SK,김선우
S텔21785,우)운정아저씨,운정아저씨,후불)텔링크SK,김선우
S텔23601,구)울산폰마트,울산폰마트,후불)텔링크SK,서승구
S텔16581,우)웅쭈노리퍼블릭,웅쭈노리퍼블릭,후불)텔링크SK,김선우
S텔24490,열)워니통신(남양주),워니통신,후불)텔링크SK,박종열
S텔20301,영)원모바일,원모바일,후불)텔링크SK,원세영
S텔17420,구)원모바일(안양),원모바일,후불)텔링크SK,서승구
S텔24935,열)원스텝(강북),원스텝,후불)텔링크SK,박종열
S텔16391,웅)원탑(금곡),원탑,후불)텔링크SK,정선웅
S텔16271,영)원탑모바일(전주),원탑모바일(전주),후불)텔링크SK,원세영
S텔26469,민)원텔레콤(고양),원텔레콤,후불)텔링크SK,김민준
S텔26287,수)원텔레콤(선릉),원텔레콤,후불)텔링크SK,김성수
S텔16605,웅)원통신,원통신,후불)텔링크SK,정선웅
S텔26378,열)원피스(광진),원피스,후불)텔링크SK,박종열
S텔21425,수)월드(송우리),월드,후불)텔링크SK,김성수
S텔21103,수)월드모바일(안산),월드텔레콤,후불)텔링크SK,김성수
S텔16428,열)월드전자랜드,월드전자랜드(강남),후불)텔링크SK,박종열
S텔22948,열)월드통신(고척),월드통신,후불)텔링크SK,박종열
S텔20494,구)월드폰(경주),월드폰2,후불)텔링크SK,서승구
S텔20218,열)월드폰(용인),월드폰용인,후불)텔링크SK,박종열
S텔17805,구)월드폰(원주),월드폰,후불)텔링크SK,서승구
S텔22531,구)월드폰3,월드폰3,후불)텔링크SK,서승구
S텔22774,열)월드푸드마트(광주),월드푸드마트통신,후불)텔링크SK,박종열
S텔21628,웅)웰빙통신,웰빙통신,후불)텔링크SK,정선웅
S텔20306,수)윈모바일(전곡),윈모바일,후불)텔링크SK,김성수
S텔21120,열)윈스토어,윈스토어,후불)텔링크SK,박종열
S텔22160,열)윈텔레콤,윈텔레콤,후불)텔링크SK,박종열
S텔19816,민)유광통신(인천),유광통신,후불)텔링크SK,김민준
S텔24421,구)유나통신로또(도봉),유나통신로또,후불)텔링크SK,서승구
